"","dur"
"1",200
"2",223
"3",215
"4",200
"5",226
"6",216
"7",202
"8",192
"9",206
"10",188
"11",205
"12",213
"13",219
"14",191
"15",197
"16",178
"17",208
"18",202
"19",195
"20",183
"21",200
"22",213
"23",211
"24",199
"25",209
"26",203
"27",208
"28",199
"29",190
"30",210
"31",204
"32",190
"33",220
"34",195
"35",197
"36",178
"37",235
"38",181
"39",197
"40",203
"41",202
"42",200
"43",198
"44",195
"45",186
"46",178
"47",182
"48",206
"49",205
"50",221
"51",205
"52",198
"53",189
"54",197
"55",201
"56",188
"57",198
"58",211
"59",189
"60",200
"61",201
"62",193
"63",192
"64",211
"65",183
"66",201
"67",225
"68",181
"69",214
"70",204
"71",176
"72",209
"73",193
"74",206
"75",209
"76",182
"77",209
"78",210
"79",209
"80",188
"81",202
"82",189
"83",171
"84",201
"85",195
"86",192
"87",191
"88",186
"89",209
"90",213
"91",214
"92",191
"93",181
"94",198
"95",187
"96",207
"97",210
"98",220
"99",203
"100",211
"101",174
"102",163
"103",195
"104",214
"105",201
"106",182
"107",182
"108",192
"109",186
"110",210
"111",195
"112",233
"113",186
"114",224
"115",199
"116",212
"117",202
"118",206
"119",205
"120",188
"121",209
"122",198
"123",224
"124",222
"125",198
"126",193
"127",196
"128",182
"129",221
"130",196
"131",203
"132",205
"133",182
"134",225
"135",196
"136",178
"137",175
"138",214
"139",211
"140",194
"141",221
"142",201
"143",196
"144",204
"145",200
"146",207
"147",226
"148",191
"149",196
"150",213
"151",206
"152",212
"153",226
"154",209
"155",212
"156",224
"157",211
"158",193
"159",177
"160",205
"161",203
"162",205
"163",188
"164",200
"165",195
"166",189
"167",216
"168",173
"169",210
"170",196
"171",198
"172",186
"173",186
"174",191
"175",200
"176",185
"177",211
"178",195
"179",185
"180",193
"181",203
"182",204
"183",199
"184",194
"185",191
"186",196
"187",214
"188",213
"189",210
"190",192
"191",218
"192",178
"193",180
"194",199
"195",200
"196",189
"197",234
"198",212
"199",195
"200",177
"201",222
"202",200
"203",197
"204",215
"205",204
"206",210
"207",191
"208",184
"209",197
"210",166
"211",216
"212",195
"213",182
"214",203
"215",202
"216",205
"217",194
"218",208
"219",210
"220",198
"221",202
"222",202
"223",182
"224",191
"225",215
"226",176
