"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",1e-04
"152",1e-04
"153",2e-04
"154",2e-04
"155",3e-04
"156",5e-04
"157",8e-04
"158",0.0011
"159",0.0013
"160",0.0014
"161",0.0018
"162",0.0023
"163",0.0028
"164",0.0045
"165",0.005
"166",0.006
"167",0.007
"168",0.0083
"169",0.0112
"170",0.014
"171",0.0172
"172",0.0195
"173",0.022
"174",0.0262
"175",0.0318
"176",0.0379
"177",0.0448
"178",0.0531
"179",0.0623
"180",0.0707
"181",0.0802
"182",0.0915
"183",0.1035
"184",0.1161
"185",0.1309
"186",0.1483
"187",0.1644
"188",0.1833
"189",0.2065
"190",0.2272
"191",0.2499
"192",0.2779
"193",0.3039
"194",0.3305
"195",0.3565
"196",0.3837
"197",0.4097
"198",0.4338
"199",0.4651
"200",0.492
"201",0.5218
"202",0.551
"203",0.5794
"204",0.6072
"205",0.6334
"206",0.6578
"207",0.6837
"208",0.7066
"209",0.7297
"210",0.7514
"211",0.7747
"212",0.7945
"213",0.8137
"214",0.8307
"215",0.8471
"216",0.8618
"217",0.8766
"218",0.8903
"219",0.9032
"220",0.9131
"221",0.9217
"222",0.9311
"223",0.9401
"224",0.948
"225",0.9559
"226",0.9624
"227",0.9669
"228",0.9713
"229",0.9759
"230",0.9796
"231",0.983
"232",0.9856
"233",0.9872
"234",0.9892
"235",0.991
"236",0.9934
"237",0.9949
"238",0.9959
"239",0.9968
"240",0.9977
"241",0.9982
"242",0.9983
"243",0.9985
"244",0.9988
"245",0.9994
"246",0.9995
"247",0.9995
"248",0.9996
"249",0.9997
"250",0.9998
"251",0.9998
"252",0.9998
"253",0.9999
