Caso;Area;Distancia;AntigÅedad;Precio;;
1;182;200;12;202089;;
2;70;1100;14;66702;;
3;128;700;16;149259;;
4;163;1800;10;185846;;
5;136;700;14;155111;;
6;125;1600;10;127528;;
7;168;600;13;209549;;
8;184;1800;18;161870;;
9;134;1900;5;143191;;
10;145;1600;14;145897;;
11;146;1500;18;152874;;
12;79;1600;12;60362;;
13;97;100;3;145887;;
14;95;600;19;102552;;
15;165;1200;7;188391;;
16;110;1000;11;122766;;
17;90;700;5;107070;;
18;117;200;14;127845;;
19;87;1700;10;77358;;
20;85;900;16;84523;;
21;159;300;19;200020;;
22;187;1900;3;237894;;
23;116;1200;2;146706;;
24;169;1900;8;183094;;
25;153;900;16;163886;;
26;54;100;8;65081;;
27;153;0;18;173817;;
28;188;800;1;247903;;
29;109;600;4;145581;;
30;83;100;10;105404;;
31;89;0;2;128415;;
32;175;1400;13;201290;;
33;62;900;10;57224;;
34;144;1700;13;128074;;
35;191;100;6;245895;;
36;111;700;0;145328;;
37;119;700;11;121876;;
38;199;900;7;233418;;
39;131;600;15;132205;;
40;66;0;16;79140;;
41;73;1900;4;54911;;
42;86;1400;7;83073;;
43;53;1400;1;41088;;
44;57;1800;17;24160;;
45;104;300;3;146027;;
46;41;1400;16;14517;;
47;162;1100;16;191804;;
48;171;0;19;210679;;
49;175;600;19;183773;;
50;86;400;15;83273;;
51;52;1300;2;36776;;
52;78;1900;0;66313;;
53;183;1700;18;166560;;
54;56;800;18;52750;;
55;83;1100;11;70571;;
56;186;1200;12;191682;;
57;107;400;5;152709;;
58;198;300;9;255918;;
59;142;800;2;204031;;
60;188;100;9;234554;;
61;169;1200;19;167180;;
62;128;1700;3;135247;;
63;94;1800;2;93126;;
64;174;1900;2;211518;;
65;121;600;0;168567;;
66;169;1900;10;171501;;
67;158;800;4;201765;;
68;108;1000;18;97889;;
69;195;1000;8;212247;;
70;149;1500;16;146467;;
71;101;1200;14;95209;;
72;93;600;2;134335;;
73;70;1200;1;68865;;
74;162;1600;11;168778;;
75;60;1200;2;49621;;
76;115;1100;9;120037;;
77;119;400;13;155867;;
78;101;600;17;117500;;
79;184;200;0;289788;;
80;45;200;5;51697;;
81;93;700;8;100890;;
82;92;1400;19;84887;;
83;127;900;17;141608;;
84;88;1200;8;77814;;
85;100;100;0;192355;;
86;136;1900;13;134776;;
87;92;1600;2;98512;;
88;63;1100;1;58576;;
89;163;1900;6;169307;;
90;164;600;4;242308;;
91;129;200;6;166301;;
92;135;1200;12;134532;;
93;136;1300;18;126691;;
94;143;1900;4;150644;;
95;70;400;17;78371;;
96;171;0;19;189059;;
97;91;700;13;106438;;
98;127;1800;18;100828;;
99;188;800;12;210597;;
100;146;1900;0;179453;;
