CD_ESTRUTURA_COMERCIAL;CD_DIA_CICLO;CD_SEMANA_CICLO;CD_CICLO;RB;PUNTOS
300000491;16;3;201703;64780.41;5045
300000950;10;2;201703;46223.55;2884
300000805;15;3;201706;40674.55;3257
300000950;18;3;201706;75772.55;5810
300000950;7;1;201707;76695.07;3807
300000951;20;3;201706;73514.12;5472
300000951;21;3;201503;43904.28;8135
300000443;17;3;201610;85476.86;8765
300000443;5;1;201607;8528.1;886
300000805;5;1;201607;3840.3;362
300000951;10;2;201802;30087.34;2154
300000491;;;201801;13522.8;1057
300000443;16;3;201803;66017.7;4194
300000950;16;3;201803;97253.13;5829
300000950;13;2;201708;69605.56;5779
300000805;20;3;201707;284090.52;21171
300000491;13;2;201708;43703.66;3798
300000950;16;3;201517;44771.29;5894
300000950;10;2;201503;20759.28;3900
300000951;15;3;201610;44760.66;4585
300000805;21;3;201609;151235.45;15261
300000491;8;2;201710;54208.6;4308
300000950;17;3;201705;100864.6;8065
300000491;22;4;201705;63699;5097
300000491;10;2;201706;10268;805
300000805;17;3;201706;87212.54;6773
300000491;16;3;201706;49338.48;4021
300000805;24;4;201505;69642.36;11581
300000491;;;201613;7146.55;619
300000443;2;1;201614;12637.11;1155
300000950;9;2;201505;5773.62;1018
300000805;15;3;201510;33912.3;5526
300000950;15;3;201510;49951.73;8321
300000950;27;4;201614;264670.13;25010
300000805;2;1;201702;19270;1799
300000951;8;2;201702;11317.91;1056
300000805;16;3;201707;62951.18;3887
300000443;21;3;201614;38078.25;3546
300000491;19;3;201712;33666.63;2587
300000951;16;3;201713;81494.54;5460
300000950;1;1;201701;32777.71;3538
300000805;3;1;201512;13703.17;2346
300000950;;;201613;2285.16;147
300000491;14;2;201502;58729.3;10460
300000950;13;2;201502;98617.36;16869
300000491;17;3;201716;90617.42;5832
300000950;9;2;201801;37511.01;2637
300001309;9;2;201717;34710.79;2430
300000443;14;2;201712;36556.97;2777
300000951;18;3;201712;36665.83;2954
300001309;18;3;201712;44157.17;3397
300000951;14;2;201712;43342.76;3206
300000443;7;1;201617;28896.89;2949
300000950;19;3;201705;74418.29;5845
300000491;1;1;201513;5854.21;779
300000950;21;3;201512;66765.81;10029
300000950;21;3;201715;224317.08;16406
300001309;14;2;201716;10938.68;729
300000950;10;2;201716;40041.43;2180
300000443;7;1;201608;17365.71;1742
300000491;2;1;201508;17364.55;2785
300000491;12;2;201601;8702.82;1284
300000805;14;2;201601;25621.53;4005
300000491;14;2;201603;45744.14;6663
300000805;16;3;201615;41157.87;4082
300000951;16;3;201614;29916.12;2451
300000491;12;2;201507;8641.73;1228
300000805;14;2;201516;37057.37;4923
300000950;12;2;201516;14639.68;1990
300001309;20;3;201803;121380.2;8901
300001309;11;2;201803;13790.7;952
300000951;18;3;201803;46783.37;3273
300001309;21;3;201803;84367.36;6651
300000443;7;1;201604;43576.18;4464
300000443;13;2;201613;49287.21;4194
300000805;19;3;201801;26580.22;1880
300001309;19;3;201707;47426.73;3155
300001309;21;3;201707;63836.72;4801
300000951;12;2;201708;25977.32;2428
300000491;12;2;201703;20304.55;1192
300000951;19;3;201703;53587.27;3981
300000491;14;2;201703;47108.2;3056
300000443;13;2;201703;24843.11;1935
300000491;7;1;201703;22865.7;1879
300000443;18;3;201608;18169.86;2111
300000805;;;201602;1381.94;221
300000951;2;1;201615;36954.05;3681
300000805;2;1;201615;4225.91;381
300000443;6;1;201702;32079.71;2928
300000805;24;4;201802;53074.81;3790
300000951;6;1;201703;15017.32;1207
300000491;2;1;201504;8357;1441
300000443;1;1;201502;31151.23;5492
300000443;20;3;201602;28699.54;3835
300000950;8;2;201508;28307.56;4427
300000491;8;2;201508;26448.92;4181
300000805;8;2;201508;16250.84;2856
300000805;28;4;201802;96409.48;6572
300000951;8;2;201714;27894.21;1888
300000951;11;2;201714;18267.6;1252
300000950;15;3;201515;36604.87;5505
300000491;16;3;201515;35748.36;5043
300000951;18;3;201608;25966.08;2682
300000491;9;2;201802;57267.12;4127
300000443;21;3;201705;74413.32;6019
300000491;8;2;201613;132230.41;6997
300000950;7;1;201717;83938.77;5431
300000443;6;1;201613;702773.58;33731
300000951;13;2;201613;37429.59;2969
300000805;1;1;201712;49530.88;3885
300000951;21;3;201712;195104.69;15396
300000443;8;2;201713;21426.02;1100
300000805;21;3;201712;43169.06;3434
300000950;17;3;201703;112394.15;8973
300000805;17;3;201704;33266.16;2710
300000443;8;2;201705;25784.1;2047
300000491;1;1;201706;10027.08;810
300000491;8;2;201607;18359.4;1742
300000950;3;1;201512;7455.91;1246
300000950;8;2;201613;828406.22;40384
300000491;10;2;201517;16855.93;2083
300000951;19;3;201517;17590.98;2198
300000951;18;3;201517;16165.63;2005
300000491;12;2;201517;20413.58;2631
300000443;11;2;201517;9340.73;1110
300000491;19;3;201615;36921.17;3663
300000805;10;2;201714;34849.41;2438
300000951;9;2;201613;59009.64;3406
300000491;3;1;201613;14774.63;1386
300000491;14;2;201716;39450.58;2362
300000950;17;3;201715;77734.67;5721
300000491;10;2;201515;24714.63;3444
300000950;6;1;201609;7049.54;712
300000491;22;4;201714;36740.73;2575
300000805;15;3;201714;51157.85;3654
300000491;15;3;201714;34436.32;2540
300000950;16;3;201701;38932.7;3991
300000491;14;2;201610;51063.7;5300
300000950;14;2;201610;82925.28;8496
300000805;14;2;201610;38086.14;3799
300000950;16;3;201705;98020.27;7717
300000950;23;4;201705;5966;486
300000443;14;2;201601;37768.4;5361
300000950;15;3;201505;21871.02;3767
300000950;13;2;201505;36187.12;6360
300000951;20;3;201714;11731.02;864
300000950;9;2;201617;92890.82;9209
300000950;10;2;201617;72059.41;6849
300000805;9;2;201601;5420.57;795
300000805;8;2;201705;33947.92;2619
300000951;17;3;201704;80529.74;6377
300000491;2;1;201617;26316.6;2637
300000951;10;2;201613;45856;3666
300000805;20;3;201704;7024.29;552
300000950;19;3;201712;66438.01;5170
300000951;10;2;201615;34498.82;3332
300000443;8;2;201615;35805.02;3440
300000443;15;3;201504;20393.25;4594
300000805;13;2;201704;47605.59;3864
300000443;13;2;201603;41827.8;6162
300000491;1;1;201714;22444.3;1674
300000491;16;3;201714;23803.57;1654
300000491;16;3;201802;16899.71;1213
300000805;4;1;201615;6230.52;599
300000443;31;5;201614;2416.4;278
300000805;14;2;201714;55084.99;3868
300000491;18;3;201714;18534.52;1345
300000491;10;2;201616;22044.87;1746
300000950;18;3;201616;60708.49;4711
300000491;19;3;201616;49738.86;3880
300000805;21;3;201607;140001.25;13557
300000491;21;3;201607;146805.49;13600
300000491;5;1;201603;26726.62;3981
300000443;5;1;201603;26719.21;3789
300000491;;;201602;2843.88;410
300000950;9;2;201611;21913.36;2037
300000950;17;3;201503;42525.28;7981
300000805;19;3;201503;15283.1;2792
300000951;9;2;201704;35938;2937
300000491;25;4;201703;3180.6;228
300000443;22;4;201703;189078.56;15306
300000443;16;3;201606;29750.52;3036
300000491;7;1;201715;29272.9;2127
300000443;13;2;201615;50452.11;4924
300000805;16;3;201517;23011.13;2975
300000951;1;1;201606;24421.5;2547
300000951;21;3;201605;77894.11;7868
300000491;13;2;201713;58527.49;4010
300000951;18;3;201711;40408.41;3243
300000951;14;2;201713;63061.21;3762
300000805;4;1;201608;10042.82;1023
300000805;5;1;201608;8285.41;913
300000491;21;3;201514;14382.6;2062
300000491;8;2;201803;33413.03;2266
300000805;19;3;201514;4047.87;602
300000491;22;4;201514;35674.41;4747
300000443;21;3;201612;142106.86;12872
300000443;8;2;201703;9485.3;718
300000951;14;2;201513;28835.62;2750
300000950;8;2;201513;18238.96;2102
300000443;2;1;201515;17861.61;2557
300000443;3;1;201515;20081.49;2755
300000443;4;1;201617;2647.11;247
300000805;5;1;201617;5672.41;537
300000951;19;3;201606;26089.73;2681
300000950;14;2;201617;243670.51;24060
300000951;7;1;201604;3089.06;356
300000951;8;2;201604;10672.52;1290
300000491;16;3;201513;35789.28;4130
300000443;16;3;201513;35176.43;3784
300001309;25;4;201714;19211.88;1421
300000443;20;3;201707;96955.48;7316
300000805;13;2;201707;127870.86;6844
300000951;7;1;201615;77965.59;6635
300000443;6;1;201615;53703.31;5068
300000950;16;3;201711;98568.47;7880
300000951;15;3;201709;85609;6947
300000443;18;3;201709;14290.58;1119
300000443;3;1;201710;14411.68;1020
300000805;10;2;201710;28223.7;2355
300000805;11;2;201603;6222.5;984
300000491;1;1;201514;30284.41;4212
300000491;6;1;201505;5020.16;751
300000950;2;1;201505;18612.74;1694
300000805;10;2;201616;24913.89;1964
300000805;11;2;201615;22385.64;2129
300000950;6;1;201502;23646.77;4320
300000951;14;2;201507;16670.28;2341
300000491;8;2;201507;8457.23;1253
300000443;15;3;201709;35030.79;2823
300000805;15;3;201707;88626.75;6008
300000950;6;1;201708;31032.18;2779
300000491;11;2;201705;15315.9;1192
300000950;2;1;201603;18595.57;2801
300000443;8;2;201610;28841.92;2928
300000443;7;1;201610;34346.32;3518
300000950;14;2;201611;82980.9;7638
300000491;14;2;201611;54048.99;4917
300000443;23;4;201702;53200.97;4659
300000950;15;3;201702;64552.36;5469
300000805;9;2;201603;16531.5;2510
300000491;9;2;201603;12910.02;1861
300000951;13;2;201606;31460.6;3173
300000491;11;2;201606;15292.8;1547
300000491;27;4;201514;37702.78;5300
300000443;25;4;201514;18663.77;2661
300000951;6;1;201515;12726.72;1876
300000491;1;1;201608;17509.23;1823
300000950;9;2;201616;102979.28;5468
300000950;10;2;201712;34054.87;2464
300001309;19;3;201802;7305.5;547
300000950;1;1;201713;25525.5;2085
300000950;20;3;201508;84067.39;13949
300000805;13;2;201705;9605.6;789
300000491;7;1;201708;27634.41;2636
300001309;13;2;201803;21025.21;1439
300000950;10;2;201707;24646.96;1747
300000491;15;3;201710;51873.05;4283
300000491;11;2;201710;13578.87;1119
300000950;17;3;201614;44348.89;3592
300000950;8;2;201706;25885.14;2050
300000491;19;3;201501;3918.47;751
300000950;20;3;201501;99563.83;18193
300000805;19;3;201501;7710.23;1468
300000805;7;1;201605;13311.95;1343
300000443;10;2;201717;27879.77;1717
300000443;25;4;201602;9804.6;1385
300000491;26;4;201602;3362.83;448
300000950;28;4;201602;35683.48;4982
300000491;21;3;201615;92371.22;8877
300000951;6;1;201606;7353.5;772
300000950;20;3;201605;164051.28;16477
300000491;20;3;201605;25252;2578
300000950;9;2;201803;38712.41;2707
300000805;12;2;201803;21199.51;1458
300000950;7;1;201714;58817.73;3966
300000443;16;3;201713;57888.7;3774
