Año;Mes;Dia;Cantidad
1999;5;28;47
1999;5;29;22
1999;5;30;4
1999;5;31;72
1999;6;1;64
1999;6;2;57
1999;6;3;62
1999;6;4;62
1999;6;5;38
1999;6;6;49
1999;6;7;111
1999;6;8;98
1999;6;9;96
1999;6;10;107
1999;6;11;82
1999;6;12;34
1999;6;13;51
1999;6;14;78
1999;6;15;113
1999;6;16;117
1999;6;17;136
1999;6;18;77
1999;6;19;84
1999;6;20;79
1999;6;21;92
1999;6;22;176
1999;6;23;146
1999;6;24;136
1999;6;25;136
1999;6;26;102
1999;6;27;104
1999;6;28;192
1999;6;29;191
1999;6;30;168
1999;7;1;217
1999;7;2;175
1999;7;3;132
1999;7;4;141
1999;7;5;274
1999;7;6;219
1999;7;7;242
1999;7;8;207
1999;7;9;150
1999;7;10;164
1999;7;11;158
1999;7;12;293
1999;7;13;208
1999;7;14;236
1999;7;15;198
1999;7;16;172
1999;7;17;144
1999;7;18;137
1999;7;19;224
1999;7;20;178
1999;7;21;209
1999;7;22;159
1999;7;23;163
1999;7;24;77
1999;7;25;95
1999;7;26;180
1999;7;27;127
1999;7;28;153
1999;7;29;124
1999;7;30;93
1999;7;31;67
1999;8;1;51
1999;8;2;121
1999;8;3;110
1999;8;4;89
1999;8;5;74
1999;8;6;63
1999;8;7;37
1999;8;8;43
1999;8;9;106
1999;8;10;60
1999;8;11;69
1999;8;12;91
1999;8;13;57
1999;8;14;30
1999;8;15;39
1999;8;16;19
1999;8;17;73
1999;8;18;84
1999;8;19;48
1999;8;20;44
1999;8;21;47
1999;8;22;33
1999;8;23;79
1999;8;24;96
1999;8;25;57
1999;8;26;83
1999;8;27;57
1999;8;28;29
1999;8;29;32
1999;8;30;85
1999;8;31;64
1999;9;1;60
1999;9;2;47
1999;9;3;54
1999;9;4;31
1999;9;5;26
1999;9;6;60
1999;9;7;48
1999;9;8;57
1999;9;9;54
1999;9;10;30
1999;9;11;23
1999;9;12;24
1999;9;13;84
1999;9;14;59
1999;9;15;72
1999;9;16;68
1999;9;17;41
1999;9;18;20
1999;9;19;20
1999;9;20;58
1999;9;21;43
1999;9;22;35
1999;9;23;39
1999;9;24;26
1999;9;25;17
1999;9;26;28
1999;9;27;65
1999;9;28;54
1999;9;29;39
1999;9;30;40
1999;10;1;30
1999;10;2;21
1999;10;3;24
1999;10;4;92
1999;10;5;66
1999;10;6;64
1999;10;7;45
1999;10;8;27
1999;10;9;21
1999;10;10;17
1999;10;11;31
1999;10;12;41
1999;10;13;141
1999;10;14;137
1999;10;15;122
1999;10;16;62
1999;10;17;67
1999;10;18;168
1999;10;19;111
1999;10;20;103
1999;10;21;80
1999;10;22;81
1999;10;23;67
1999;10;24;54
1999;10;25;107
1999;10;26;86
1999;10;27;72
1999;10;28;85
1999;10;29;80
1999;10;30;63
1999;10;31;42
1999;11;1;98
1999;11;2;96
1999;11;3;79
1999;11;4;75
1999;11;5;63
1999;11;6;40
1999;11;7;49
1999;11;8;160
1999;11;9;106
1999;11;10;95
1999;11;11;74
1999;11;12;67
1999;11;13;49
1999;11;14;35
1999;11;15;113
1999;11;16;105
1999;11;17;64
1999;11;18;74
1999;11;19;49
1999;11;20;41
1999;11;21;33
1999;11;22;99
1999;11;23;77
1999;11;24;69
1999;11;25;71
1999;11;26;61
1999;11;27;33
1999;11;28;33
1999;11;29;64
1999;11;30;54
1999;12;1;56
1999;12;2;49
1999;12;3;38
1999;12;4;37
1999;12;5;29
1999;12;6;71
1999;12;7;46
1999;12;8;27
1999;12;9;45
1999;12;10;39
1999;12;11;32
1999;12;12;25
1999;12;13;49
1999;12;14;39
1999;12;15;40
1999;12;16;30
1999;12;17;31
1999;12;18;30
1999;12;19;35
1999;12;20;37
1999;12;21;34
1999;12;22;36
1999;12;23;37
1999;12;24;31
1999;12;25;26
1999;12;26;21
1999;12;27;28
1999;12;28;43
1999;12;29;42
1999;12;30;25
1999;12;31;26
2000;1;1;13
2000;1;2;13
2000;1;3;40
2000;1;4;33
2000;1;5;26
2000;1;6;23
2000;1;7;20
2000;1;8;20
2000;1;9;21
2000;1;10;54
2000;1;11;32
2000;1;12;21
2000;1;13;26
2000;1;14;20
2000;1;15;22
2000;1;16;17
2000;1;17;33
2000;1;18;35
2000;1;19;18
2000;1;20;25
2000;1;21;23
2000;1;22;14
2000;1;23;23
2000;1;24;36
2000;1;25;42
2000;1;26;29
2000;1;27;27
2000;1;28;41
2000;1;29;23
2000;1;30;33
2000;1;31;39
2000;2;1;29
2000;2;2;33
2000;2;3;25
2000;2;4;49
2000;2;5;16
2000;2;6;25
2000;2;7;50
2000;2;8;32
2000;2;9;35
2000;2;10;20
2000;2;11;33
2000;2;12;27
2000;2;13;25
2000;2;14;65
2000;2;15;51
2000;2;16;55
2000;2;17;49
2000;2;18;40
2000;2;19;26
2000;2;20;25
2000;2;21;64
2000;2;22;51
2000;2;23;51
2000;2;24;34
2000;2;25;29
2000;2;26;17
2000;2;27;34
2000;2;28;49
2000;2;29;62
2000;3;1;45
2000;3;2;44
2000;3;3;31
2000;3;4;21
2000;3;5;25
2000;3;6;39
2000;3;7;37
